RateID,Lower,Upper,WCode,Amount
A,0.00,24.99,W5942 ,5.14
A,25.00,49.99,W5955,5.65
A,50.00,74.99,W5967,6.59
A,75.00,99.99,W5979,7.54
B,0.00,24.99,W5947 ,4.43
B,25.00,49.99,W5960,4.57
B,50.00,74.99,W5972,4.8
B,75.00,99.99,W5984,5.03
C,0.00,24.99,W5947 ,4.43
C,25.00,49.99,W5960,4.57
C,50.00,74.99,W5972,4.8
C,75.00,99.99,W5984,5.03
D,0.00,24.99,W5950,5.58
D,25.00,49.99,W5962,6.33
D,50.00,74.99,W5974,6.59
D,75.00,99.99,W5990,9.14
E,0.00,24.99,W5951,9.55
E,25.00,49.99,W5963,9.6
E,50.00,74.99,W5975,9.7
E,75.00,99.99,W5991,9.79
F,0.00,24.99,W5943,18.32
G,0.00,24.99,W5943,18.32
